iter	Logloss
0	0.662785594
1	0.6411415827
2	0.618371171
3	0.6003083964
4	0.5838155011
5	0.5687719315
6	0.5570722251
7	0.5455270438
8	0.5341671209
9	0.5231325714
10	0.5129797086
11	0.5043790685
12	0.4971355998
13	0.491635712
14	0.4860301215
15	0.4808455395
16	0.4763848777
17	0.4723455338
18	0.468710861
19	0.4667377008
20	0.4627126872
21	0.4595033489
22	0.4563552048
23	0.4537308767
24	0.4516713635
25	0.4492746554
26	0.4474622389
27	0.4455162245
28	0.4438913346
29	0.4422393424
30	0.4410327465
31	0.4398968536
32	0.4385083724
33	0.4365171757
34	0.4354061361
35	0.4347405518
36	0.4338449896
37	0.4330525207
38	0.4323664428
39	0.4316670316
40	0.4304352882
41	0.4293969747
42	0.4285931412
43	0.4275660174
44	0.4267253642
45	0.4262635311
46	0.42603037
47	0.4256055341
48	0.4251704801
49	0.4248580115
50	0.4244662673
51	0.4243003479
52	0.4239569174
53	0.4236589266
54	0.4235021754
55	0.4229837398
56	0.4227474386
57	0.4225148498
58	0.4225134493
59	0.4222815113
60	0.4221077469
61	0.4216025893
62	0.4214377233
63	0.4211914077
64	0.4210766708
65	0.4207336772
66	0.420647381
67	0.4206320266
68	0.4198131801
69	0.4195248651
70	0.4195246975
71	0.4193686616
72	0.4193685689
73	0.4192985178
74	0.4191209222
75	0.4190344597
76	0.4188176239
77	0.4186184983
78	0.4184173904
79	0.4182455096
80	0.4182282275
81	0.4181496201
82	0.4181495912
83	0.4179181402
84	0.417663409
85	0.4176523607
86	0.4176054365
87	0.41726761
88	0.4172172686
89	0.4170984704
90	0.4169695393
91	0.4166491024
92	0.4164835704
93	0.4161038966
94	0.41583481
95	0.415697672
96	0.4155645491
97	0.4153651782
98	0.4152124224
99	0.4150490699
100	0.415043483
101	0.4146349601
102	0.414256607
103	0.4140270112
104	0.4138419433
105	0.4137418978
106	0.4134227357
107	0.4133044673
108	0.4130055508
109	0.4128633263
110	0.4126500801
111	0.4126401236
112	0.4124389875
113	0.4121195977
114	0.4119714135
115	0.4118415074
116	0.4117588679
117	0.4117414715
118	0.4115905043
119	0.4113738912
120	0.4112268063
121	0.4112208747
122	0.4110169012
123	0.4108419008
124	0.4108384517
125	0.4108349097
126	0.4105772099
127	0.4105689617
128	0.4104045081
129	0.4103315401
130	0.4101978654
131	0.4100467147
132	0.4100437066
133	0.4099856507
134	0.4098482537
135	0.409847054
136	0.4098458644
137	0.4097334957
138	0.4095908769
139	0.4095901265
140	0.4095876513
141	0.4095869062
142	0.4094379395
143	0.4093206477
144	0.4092593289
145	0.4091404521
146	0.4090917876
147	0.4090910683
148	0.4089653536
149	0.4088405621
150	0.4088381504
151	0.4087223369
152	0.4087216229
153	0.4086136243
154	0.4086090604
155	0.4086069363
156	0.40860622
157	0.4086015363
158	0.4085996621
159	0.4085984525
160	0.4085978834
161	0.4085936845
162	0.4085378164
163	0.4085366736
164	0.4084088071
165	0.4084081028
166	0.4084068983
167	0.4084062478
168	0.40840556
169	0.4083502703
170	0.4083486629
171	0.4083480112
172	0.4083464828
173	0.4082627421
174	0.4082620277
175	0.408261376
176	0.4081584529
